STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE,CAT10,CAT23,CAT29
31,   NKA-CAMB-004,1,8,8,00000,0,00,065,0,'Cambridge Canal         ',,'Farm Access       ','5.6 miles east of Cambrid',99.99,0,0,,,40186870,100034463,3,3,21,69,09,1963,2,0,3,2014,0,7.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,4.9,7.3,7.3,0,0,4.9,4.9,99.99,N,0,N,0,0,5,6,5,7,N,2,33.3,2,22.5,5,N,N,5,9,6,35,1,0,316,24,N  ,N  ,N  ,,,,44,0,44,,,,,0,N,3,,0,0,0,1,0,0,0,,0,,Y,8,3,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,62.4,0,F,5,35.77
31,   NKA-CAMB-013,1,4,1,00724,0,00,065,0,'Cambridge Canal         ',,'CO RD 724         ','2.1 miles northeast of Ho',99.99,0,0,,,40191723,995924560,6,3,02,69,09,1980,2,0,20,2014,0,8.2,0,0,0,N,N,N,N,5,0,0,0,A,1,5,2,19,0,00,2,0,8.2,3.4,9.8,0,0,8.2,12.2,99.99,N,0,N,0,0,N,N,N,5,8,0,32.4,0,20.7,6,6,N,5,8,8,,1,0,316,24,N  ,N  ,N  ,,,,1,0,1,,,,,0,N,2,,0,0,0,N,N,N,N,,0,,Y,8,25,2036,,Y,5/16/2018,B,Z ,,,,,,,,,0,,87,0,G,8,119.56
31,   NKA-CAMB-021,1,8,0,00000,0,00,065,0,'Cambridge Canal         ',,'County Road 724   ','0.8 miles north north eas',99.99,0,0,,,40185338,995335190,2,3,25,69,09,1963,2,0,15,2014,0,7.3,0,15,0,1,0,0,0,5,0,0,0,A,1,5,5,04,0,00,1,0,5.2,11.9,12,0,0,7.3,7.3,99.99,N,0,N,0,0,5,7,5,8,N,2,32.4,2,24.3,5,6,N,5,9,8,35,1,0,316,24,N  ,N  ,N  ,,,,20,0,20,,,,,0,N,2,,0,0,0,2,0,0,0,,0,,Y,8,15,2036,,Y,5/16/2018,B,Z ,,,,,,,,,0,,78.5,0,F,5,87.6
31,   NKA-CAMB-037,1,8,0,00000,0,00,083,0,'Cambridge Canal         ',,'County Road C     ','Three and a half miles so',99.99,0,0,,,40134975,993423900,2,3,25,69,09,1947,2,0,5,2014,1,6.7,0,20,0,0,0,0,0,5,0,0,0,P,1,5,7,02,0,00,1,0,6.7,7.2,7.2,0,0,6.7,6.7,99.99,N,0,N,0,0,5,4,5,7,N,2,16.2,2,10.8,4,5,N,0,9,7,35,1,0,316,24,N  ,N  ,N  ,,,,37,0,37,,,,,0,N,2,,0,0,0,8,0,0,0,,0,,Y,8,10,2035,,Y,5/16/2018,B,A ,,,,,,,,,1,,41,1,P,4,48.24
31,   NKA-CULB-003,1,4,1,00000,0,00,085,0,'Culbertson Canal        ',,'CO RD AVE 360     ','1.2 mi NE of Palisde  NE ',99.99,0,0,,,40213868,101055250,1,3,02,69,09,1955,2,0,3,2014,1,5.5,0,27,0,0,0,0,0,4,0,0,0,P,1,5,7,02,0,00,2,0,5.5,7.9,15.8,0,0,5.8,6.2,99.99,N,0,N,0,0,5,7,4,7,N,2,17.1,2,12.6,4,4,N,0,7,7,38,2,0,316,24,N  ,N  ,N  ,,,,62,0,62,,,,,0,N,2,,0,0,0,8,0,0,0,,0,,Y,8,4,2034,,Y,5/16/2018,B,A ,,,,,,,,,1,,41.3,1,P,4,97.96
31,   NKA-CULB-006,1,4,1,00000,0,00,085,0,'Culbertson Canal        ',,'County Road       ','2.0 miles east of Palisad',99.99,0,0,,,40212600,101042642,3,3,02,69,09,1980,2,0,25,2014,0,7.6,0,27,0,N,N,N,N,5,0,0,0,A,1,5,2,19,0,00,2,0,7.6,3,6.4,0,0,7.6,30.5,99.99,N,0,N,0,0,N,N,N,5,8,0,32.4,0,24.3,6,6,N,5,8,8,35,1,0,316,24,N  ,N  ,N  ,,,,0,0,0,,,,,0,N,2,,0,0,0,N,N,N,N,,0,,Y,8,30,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,92.5,0,G,8,195.2
31,   NKA-CULB-007,1,4,1,00000,0,00,087,0,'Culbertson Canal        ',,'County Road       ','3.1 miles east of Palisad',99.99,0,0,,,40202669,101033582,8,3,02,69,09,1980,2,0,20,2014,0,7.6,0,30,0,N,N,N,N,5,0,0,0,A,1,5,2,19,0,00,2,0,7.6,3.4,6.7,0,0,7.6,13.7,99.99,N,0,N,0,0,N,N,N,7,8,0,32.4,0,21.6,6,6,N,5,8,8,,,0,316,24,N  ,N  ,N  ,,,,0,0,0,,,,,0,N,2,,0,0,0,N,N,N,N,,0,,Y,8,25,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,88.4,0,G,8,91.79
31,   NKA-CULB-010,1,4,1,00000,0,00,087,0,'Culbertson Canal        ',,'County Road 363   ','4.6 miles southeast of Pa',99.99,0,0,,,40195875,101022888,8,3,02,69,09,1980,2,0,20,2014,0,7.6,0,20,0,N,N,N,N,5,0,0,0,A,1,5,2,19,0,00,2,0,7.6,3.4,6.7,0,0,7.9,13.7,99.99,N,0,N,0,0,N,N,N,7,8,0,32.4,0,24.3,6,6,N,5,8,8,,2,0,316,24,N  ,N  ,N  ,,,,0,0,0,,,,,0,N,2,,0,0,0,N,N,N,N,,0,,Y,8,25,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,92.5,0,G,8,91.79
31,   NKA-CULB-017,1,4,1,00000,0,00,087,0,'Culbertson Canal        ',,'CO RD 366         ','10.5 miles northwest of C',99.99,0,0,,,40174664,100595100,8,3,02,69,09,1955,2,0,5,2014,1,5.8,0,40,0,0,0,0,0,5,0,0,0,P,1,5,7,02,0,00,2,0,5.8,9.1,18,0,0,5.2,5.8,99.99,N,0,N,0,0,5,2,5,6,N,2,5.4,2,4.5,2,3,N,0,6,6,38,2,0,316,24,N  ,N  ,N  ,,,,102,0,102,,,,,0,N,2,,0,0,0,8,0,0,0,,0,,Y,8,7,2034,,Y,5/16/2018,B,A ,,,,,,,,,1,,28.5,1,P,2,104.4
31,   NKA-CULB-018,1,4,1,00367,0,00,087,0,'Culbertson Canal        ',,'CO RD 367         ','9.3 mi NW of Culbertson  ',99.99,0,0,,,40174040,100575960,11,3,02,69,09,1980,2,0,20,2014,0,6.7,0,20,0,N,N,N,N,5,0,0,0,A,1,5,2,19,0,00,2,0,11,3.7,13.4,0,0,12.5,14.6,99.99,N,0,N,0,0,N,N,N,8,7,0,32.4,0,24.3,6,9,N,5,8,8,,,0,316,24,N  ,N  ,N  ,,,,0,0,0,,,,,0,N,2,,0,0,0,N,N,N,N,,0,,Y,8,22,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,92.5,0,G,7,195.64
